Rank,Movie Name
1,The Shawshank Redemption
2,The Godfather
3,The Dark Knight
4,The Godfather Part II
5,The Lord of the Rings: The Return of the King
6,12 Angry Men
7,Schindler's List
8,The Lord of the Rings: The Fellowship of the Ring
9,Pulp Fiction
10,"The Good, the Bad and the Ugly"
11,The Lord of the Rings: The Two Towers
12,Forrest Gump
13,Fight Club
14,Inception
15,Star Wars: Episode V - The Empire Strikes Back
16,The Matrix
17,Interstellar
18,GoodFellas
19,One Flew Over the Cuckoo's Nest
20,Seven
21,It's a Wonderful Life
22,The Silence of the Lambs
23,Saving Private Ryan
24,Seven Samurai
25,The Green Mile
26,City of God
27,Life Is Beautiful
28,Terminator 2: Judgment Day
29,Back to the Future
30,Star Wars: Episode IV - A New Hope
31,Kill Bill: The Whole Bloody Affair
32,Spirited Away
33,Gladiator
34,The Pianist
35,Parasite
36,Grave of the Fireflies
37,Harakiri
38,Psycho
39,The Lion King
40,The Departed
41,Whiplash
42,The Prestige
43,American History X
44,Spider-Man: Across the Spider-Verse
45,Léon: The Professional
46,Cinema Paradiso
47,Casablanca
48,The Intouchables
49,The Usual Suspects
50,Django Unchained
51,Alien
52,Rear Window
53,Modern Times
54,Once Upon a Time in the West
55,City Lights
56,WALL·E
57,Apocalypse Now
58,The Odyssey
59,Memento
60,Avengers: Infinity War
61,Dune: Part Two
62,Raiders of the Lost Ark
63,Spider-Man: Into the Spider-Verse
64,The Lives of Others
65,Sunset Boulevard
66,Witness for the Prosecution
67,Paths of Glory
68,The Shining
69,Inglourious Basterds
70,The Great Dictator
71,Aliens
72,12th Fail
73,High and Low
74,Avengers: Endgame
75,Good Will Hunting
76,Coco
77,The Dark Knight Rises
78,Toy Story
79,Amadeus
80,Your Name.
81,Das Boot
82,Braveheart
83,3 Idiots
84,Princess Mononoke
85,Oldboy
86,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
87,American Beauty
88,Capernaum
89,Singin' in the Rain
90,Once Upon a Time in America
91,Joker
92,Toy Story 3
93,Star Wars: Episode VI - Return of the Jedi
94,Come and See
95,Requiem for a Dream
96,Ikiru
97,Incendies
98,The Hunt
99,Eternal Sunshine of the Spotless Mind
100,The Apartment
101,Lawrence of Arabia
102,Attack on Titan: The Last Attack
103,Heat
104,Scarface
105,Reservoir Dogs
106,2001: A Space Odyssey
107,Up
108,Double Indemnity
109,Like Stars on Earth
110,North by Northwest
111,Full Metal Jacket
112,I Swear
113,A Separation
114,M
115,Die Hard
116,Amélie
117,Vertigo
118,Citizen Kane
119,To Kill a Mockingbird
120,Indiana Jones and the Last Crusade
121,The Sting
122,A Clockwork Orange
123,Metropolis
124,1917
125,Snatch
126,Woman in the Dunes
127,The Wolf of Wall Street
128,The Truman Show
129,Downfall
130,Shutter Island
131,L.A. Confidential
132,Dangal
133,Green Book
134,Bicycle Thieves
135,Judgment at Nuremberg
136,Jurassic Park
137,Oppenheimer
138,Batman Begins
139,For a Few Dollars More
140,Hamilton
141,There Will Be Blood
142,Some Like It Hot
143,Taxi Driver
144,The Father
145,The Kid
146,All About Eve
147,The Sixth Sense
148,Ran
149,Casino
150,The Thing
151,No Country for Old Men
152,Prisoners
153,Top Gun: Maverick
154,Kill Bill: Vol. 1
155,Project Hail Mary
156,Unforgiven
157,Pan's Labyrinth
158,A Beautiful Mind
159,Howl's Moving Castle
160,The Treasure of the Sierra Madre
161,Finding Nemo
162,Demon Slayer: Kimetsu No Yaiba Infinity Castle
163,Klaus
164,Yojimbo
165,The Elephant Man
166,The Great Escape
167,Monty Python and the Holy Grail
168,Dial M for Murder
169,The Secret in Their Eyes
170,Gone with the Wind
171,"Lock, Stock and Two Smoking Barrels"
172,Chinatown
173,Catch Me If You Can
174,V for Vendetta
175,The Best of Youth
176,Inside Out
177,Dead Poets Society
178,Trainspotting
179,"Three Billboards Outside Ebbing, Missouri"
180,Harry Potter and the Deathly Hallows: Part 2
181,The Bridge on the River Kwai
182,Rashomon
183,Barry Lyndon
184,The Wild Robot
185,Ben-Hur
186,Warrior
187,Hacksaw Ridge
188,Fargo
189,Mad Max: Fury Road
190,Million Dollar Baby
191,Ratatouille
192,Children of Heaven
193,My Neighbor Totoro
194,Gran Torino
195,Raging Bull
196,12 Years a Slave
197,How to Train Your Dragon
198,Memories of Murder
199,The Grand Budapest Hotel
200,Before Sunrise
201,Blade Runner
202,"Monsters, Inc."
203,Gone Girl
204,Ford v Ferrari
205,Jaws
206,In the Name of the Father
207,Spider-Man: No Way Home
208,Wild Tales
209,The Gold Rush
210,Chainsaw Man - The Movie: Reze Arc
211,Sherlock Jr.
212,Mary and Max
213,A Silent Voice: The Movie
214,The Wages of Fear
215,The Deer Hunter
216,Logan
217,Rocky
218,Pirates of the Caribbean: The Curse of the Black Pearl
219,The General
220,Mr. Smith Goes to Washington
221,Tokyo Story
222,La haine
223,Spotlight
224,The Sound of Music
225,Maharaja
226,Jai Bhim
227,The Terminator
228,Wild Strawberries
229,On the Waterfront
230,The Best Years of Our Lives
231,The Chaos Class Failed the Class
232,The Third Man
233,The Big Lebowski
234,The Incredibles
235,Before Sunset
236,Hachi: A Dog's Tale
237,Room
238,Hotel Rwanda
239,The Exorcist
240,The Seventh Seal
241,Platoon
242,The Iron Giant
243,Rush
244,Stand by Me
245,The Wizard of Oz
246,The Battle of Algiers
247,My Father and My Son
248,The Passion of Joan of Arc
249,The Handmaiden
250,Autumn Sonata
